|cve-ids|ex_url|types|solution
0|CVE-2006-4110|http://www.securityfocus.com/archive/1/442882/100/0/threaded||
1|CVE-2006-4110|http://www.securityfocus.com/archive/1/443487/100/200/threaded||
2|CVE-2006-4110|http://www.securityfocus.com/bid/19447|Exploit|Currently we are not aware of any vendor-supplied patches for this issue. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.commailto:vuldb@securityfocus.com.
3|CVE-2006-4111,CVE-2006-4112|http://www.securityfocus.com/bid/19454|Patch|To address this issue, the vendor has released version 1.1.6 of Ruby on Rails as well as patches for previous versions.<LINE BREAK><LINE BREAK>Please see the references for more information and vendor advisories.<LINE BREAK><LINE BREAK>			Ruby on Rails Ruby on Rails 1.1 <LINE BREAK> <LINE BREAK>					Ruby on Rails  rel_1-1-0.diff<LINE BREAK>http://www.rubyonrails.org/files/aug_10_security/rel_1-1-0.diff<LINE BREAK><LINE BREAK><LINE BREAK>			Ruby on Rails Ruby on Rails 1.1.1 <LINE BREAK> <LINE BREAK>					Ruby on Rails  rel_1-1-1.diff<LINE BREAK>http://www.rubyonrails.org/files/aug_10_security/rel_1-1-1.diff<LINE BREAK><LINE BREAK><LINE BREAK>			Ruby on Rails Ruby on Rails 1.1.2 <LINE BREAK> <LINE BREAK>					Ruby on Rails  rel_1-1-2.diff<LINE BREAK>http://www.rubyonrails.org/files/aug_10_security/rel_1-1-2.diff<LINE BREAK><LINE BREAK><LINE BREAK>			Ruby on Rails Ruby on Rails 1.1.4 <LINE BREAK> <LINE BREAK>					Ruby on Rails  rel_1-1-4.diff<LINE BREAK>http://www.rubyonrails.org/files/aug_10_security/rel_1-1-4.diff<LINE BREAK><LINE BREAK><LINE BREAK>			Ruby on Rails Ruby on Rails 1.1.5 <LINE BREAK> <LINE BREAK>					Ruby on Rails  rails-1.1.6.tgz<LINE BREAK>http://rubyforge.org/frs/download.php/12323/rails-1.1.6.tgz
4|CVE-2006-4112|http://www.securityfocus.com/archive/1/442934/100/0/threaded||
5|CVE-2006-4113|http://www.securityfocus.com/bid/19436|Exploit|Currently we are not aware of any vendor-supplied patches for this issue. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.commailto:vuldb@securityfocus.com.
6|CVE-2006-4114|http://www.securityfocus.com/archive/1/442808/100/100/threaded||
7|CVE-2006-4114|http://www.securityfocus.com/bid/19456|Exploit|Currently we are not aware of any vendor-supplied patches for this issue. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.commailto:vuldb@securityfocus.com.
8|CVE-2006-4115|http://www.securityfocus.com/archive/1/442684/100/0/threaded||
9|CVE-2006-4115|http://www.securityfocus.com/bid/19439|Exploit|Currently we are not aware of any vendor-supplied patches for this issue. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.commailto:vuldb@securityfocus.com.
10|CVE-2006-4116|http://www.securityfocus.com/archive/1/442445/100/0/threaded||
11|CVE-2006-4116|http://www.securityfocus.com/bid/19377||The vendor has released version 1.3.2 to address this issue. Please see the references for more information.
12|CVE-2006-4118|http://www.securityfocus.com/archive/1/442209/100/100/threaded||
13|CVE-2006-4118|http://www.securityfocus.com/bid/19342||Currently we are not aware of any vendor-supplied patches for this issue. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.commailto:vuldb@securityfocus.com.
14|CVE-2006-4120|http://www.securityfocus.com/bid/19422|Patch|The vendor has released version 1.54 to address this issue. Please see the references for more information.<LINE BREAK><LINE BREAK>NOTE: The vendor has released conflicitng version numbers. Please contact the vendor to obtain the correct version.
15|CVE-2006-4121|http://www.securityfocus.com/bid/19443|Exploit|Currently we are not aware of any vendor-supplied patches for this issue. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.commailto:vuldb@securityfocus.com.
16|CVE-2006-4122|http://www.securityfocus.com/archive/1/442884/100/0/threaded||
17|CVE-2006-4122|http://www.securityfocus.com/bid/19437|Exploit|Currently we are not aware of any vendor-supplied patches for this issue. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.commailto:vuldb@securityfocus.com.
18|CVE-2006-4123|http://www.securityfocus.com/bid/19440|Exploit|Currently we are not aware of any vendor-supplied patches for these issues. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.commailto:vuldb@securityfocus.com.
