|cve-ids|ex_url|types|solution
0|CVE-2013-4868|http://www.securityfocus.com/bid/61584|VDB Entry,Third Party Advisory|Currently we are not aware of any vendor-supplied patches. If you feel we are in error or are aware of more recent information, please mail us at: vuldb@securityfocus.com.
1|CVE-2013-4975|http://www.securityfocus.com/bid/61643|VDB Entry,Third Party Advisory|Currently, we are not aware of any vendor-supplied patches. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.com.
2|CVE-2013-4976|http://www.securityfocus.com/bid/61646|VDB Entry,Third Party Advisory|Currently, we are not aware of any vendor-supplied patches. If you feel we are in error or are aware of more recent information, please mail us at: vuldb@securityfocus.com.
3|CVE-2013-4982|http://www.securityfocus.com/bid/62035|VDB Entry,Third Party Advisory|Currently, we are not aware of any vendor-supplied patches. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.com.
4|CVE-2013-4985|http://www.securityfocus.com/bid/63541|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
5|CVE-2012-4980|http://www.securityfocus.com/bid/55644|VDB Entry,Third Party Advisory|Currently we are not aware of any vendor-supplied patches. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.com.
6|CVE-2014-3136|https://www.securityfocus.com/bid/68967|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
7|CVE-2014-5289|http://www.securityfocus.com/bid/69263|VDB Entry,Third Party Advisory|Currently, we are not aware of any vendor-supplied patches. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.com.
8|CVE-2012-5645|http://www.securityfocus.com/bid/41352|VDB Entry,Third Party Advisory|Updates are available. Please see the references for more information.
9|CVE-2013-2016|http://www.securityfocus.com/bid/59541|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
10|CVE-2013-4357|http://www.securityfocus.com/bid/67992|VDB Entry,Third Party Advisory|Updates are available. Please see the references for more information.
11|CVE-2017-18008|http://www.securityfocus.com/bid/102346|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
12|CVE-2017-18009,CVE-2018-5269,CVE-2018-5268|http://www.securityfocus.com/bid/106945|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
13|CVE-2017-18013|http://www.securityfocus.com/bid/102345|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
14|CVE-2017-9966,CVE-2017-9965,CVE-2017-9964|http://www.securityfocus.com/bid/102338|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
15|CVE-2017-1000445|http://www.securityfocus.com/bid/102368|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
16|CVE-2017-1557|http://www.securityfocus.com/bid/102418|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
17|CVE-2017-18017|http://www.securityfocus.com/bid/102367|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
18|CVE-2018-4868|http://www.securityfocus.com/bid/102477|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
19|CVE-2017-1000476|http://www.securityfocus.com/bid/102428|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
20|CVE-2017-8046|http://www.securityfocus.com/bid/100948|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
21|CVE-2018-0103|http://www.securityfocus.com/bid/102369|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
