|cve-ids|ex_url|types|solution
0|CVE-2006-5018|http://www.securityfocus.com/archive/1/446719/100/0/threaded||
1|CVE-2006-5018|http://www.securityfocus.com/bid/20152||Currently we are not aware of any vendor-supplied patches for this issue. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.commailto:vuldb@securityfocus.com.
2|CVE-2006-5019|http://www.securityfocus.com/archive/1/446728/100/0/threaded||
3|CVE-2006-5019|http://www.securityfocus.com/bid/20149||Currently we are not aware of any vendor-supplied patches for this issue. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.com.
4|CVE-2006-5020|http://www.securityfocus.com/bid/21934||The vendor has released version 0.4.1 to address these issues.<LINE BREAK><LINE BREAK>			SolidState SolidState  0.3<LINE BREAK> <LINE BREAK>					SolidState  solidstate-0.4.1.tar.gz<LINE BREAK>http://www.solid-state.org/Downloads-req-getit-lid-6.htm<LINE BREAK><LINE BREAK><LINE BREAK>			SolidState SolidState  0.4<LINE BREAK> <LINE BREAK>					SolidState  solidstate-0.4.1.tar.gz<LINE BREAK>http://www.solid-state.org/Downloads-req-getit-lid-6.htm
5|CVE-2006-5021|http://www.securityfocus.com/bid/20115|Exploit|Currently we are not aware of any vendor-supplied patches for this issue. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.commailto:vuldb@securityfocus.com.
6|CVE-2006-5022|http://www.securityfocus.com/archive/1/446929/100/0/threaded||
7|CVE-2006-5022|http://www.securityfocus.com/bid/20140|Exploit|Currently we are not aware of any vendor-supplied patches for this issue. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.commailto:vuldb@securityfocus.com.
8|CVE-2006-5023|http://www.securityfocus.com/bid/20145|Exploit|Currently we are not aware of any vendor-supplied patches for this issue. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.commailto:vuldb@securityfocus.com.
9|CVE-2006-5024|http://www.securityfocus.com/bid/20151|Patch|The vendor has released version 0.4 to address these issues. Please see the references for more information.
10|CVE-2006-5027|http://www.securityfocus.com/archive/1/446741/100/0/threaded||
11|CVE-2006-5028|http://www.securityfocus.com/archive/1/446730/100/0/threaded||
12|CVE-2006-5028|http://www.securityfocus.com/archive/1/470509/100/0/threaded||
13|CVE-2006-5028|http://www.securityfocus.com/bid/20155|Exploit|Currently we are not aware of any vendor-supplied patches for this issue. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.commailto:vuldb@securityfocus.com.<LINE BREAK><LINE BREAK>Reportedly, the vendor has released fixes to address this issue. Symantec has not confirmed this.
14|CVE-2006-5029|http://www.securityfocus.com/archive/1/446743/100/0/threaded||
15|CVE-2006-5029|http://www.securityfocus.com/archive/1/446937/100/0/threaded||
16|CVE-2006-5029|http://www.securityfocus.com/archive/1/446938/100/100/threaded||
17|CVE-2006-5029|http://www.securityfocus.com/archive/1/447069/100/100/threaded||
18|CVE-2006-5030|http://www.securityfocus.com/bid/20143|Exploit|Currently we are not aware of any vendor-supplied patches for this issue. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.commailto:vuldb@securityfocus.com.
19|CVE-2006-5031|http://www.securityfocus.com/bid/20150|Exploit,Patch|The vendor has released version 1.1.8.3544 to address this issue; please see the references for details.<LINE BREAK><LINE BREAK>			CakePHP CakePHP  1.1.7.3363<LINE BREAK> <LINE BREAK>					CakePHP  cake_1.1.8.3544.tar.gz<LINE BREAK>http://cakeforge.org/frs/download.php/248/cake_1.1.8.3544.tar.gz
20|CVE-2006-5032|http://www.securityfocus.com/bid/20182||Currently we are not aware of any vendor-supplied patches for this issue. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.com.
21|CVE-2006-5033|http://www.securityfocus.com/bid/19959|Exploit|Currently we are not aware of any vendor-supplied patches for this issue. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.commailto:vuldb@securityfocus.com.
22|CVE-2006-5034|http://www.securityfocus.com/bid/19958||Currently we are not aware of any vendor-supplied patches for this issue. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.commailto:vuldb@securityfocus.com.
23|CVE-2006-5036,CVE-2006-5037|http://www.securityfocus.com/archive/1/446722/100/0/threaded||
24|CVE-2006-5038|http://www.securityfocus.com/bid/20154||Currently we are not aware of any vendor-supplied patches for this issue. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.commailto:vuldb@securityfocus.com.
25|CVE-2006-5043|http://www.securityfocus.com/bid/23129||Currently we are not aware of any vendor-supplied patches for these issues. If you feel we are in error or if you are aware of more recent information, please mail us at: mailto:vuldb@securityfocus.com.
