|cve-ids|ex_url|types|solution
0|CVE-2006-5424|http://www.securityfocus.com/bid/20610||The vendor has released a patch to address this issue. Please contact the vendor for details on obtaining and applying the appropriate updates.
1|CVE-2006-5425|http://www.securityfocus.com/bid/20597||The vendor has released patches to address this issue. <LINE BREAK><LINE BREAK>Please see the vendor references for details.<LINE BREAK><LINE BREAK>			XORP eXtensible Open Router Platform  1.2<LINE BREAK> <LINE BREAK>					XORP  xorp_sa_06:01.ospf_1.2.patch<LINE BREAK>http://www.xorp.org/patches/SA-06:01/xorp_sa_06:01.ospf_1.2.patch<LINE BREAK><LINE BREAK><LINE BREAK>			XORP eXtensible Open Router Platform  1.3<LINE BREAK> <LINE BREAK>					XORP  xorp_sa_06:01.ospf_1.3.patch<LINE BREAK>http://www.xorp.org/patches/SA-06:01/xorp_sa_06:01.ospf_1.3.patch
2|CVE-2006-5426|http://www.securityfocus.com/bid/20619|Exploit|Currently we are not aware of any vendor-supplied patches for this issue. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.commailto:vuldb@securityfocus.com.
3|CVE-2006-5427|http://www.securityfocus.com/bid/20601||Currently we are not aware of any vendor-supplied patches for this issue. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.commailto:vuldb@securityfocus.com.
4|CVE-2006-5428|http://www.securityfocus.com/bid/20598||Currently we are not aware of any vendor-supplied patches for this issue. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.commailto:vuldb@securityfocus.com.
5|CVE-2006-5429|http://www.securityfocus.com/bid/20594||The vendor released an update to address this issue. Please see the references for more information.
6|CVE-2006-5430|http://www.securityfocus.com/bid/20622||The vendor has released an update to address this issue. Please contact the vendor for details on obtaining and applying the appropriate updates.
7|CVE-2006-5431|http://www.securityfocus.com/archive/1/449105/100/0/threaded||
8|CVE-2006-5431|http://www.securityfocus.com/bid/20606||Currently we are not aware of any vendor-supplied patches for this issue. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.commailto:vuldb@securityfocus.com.
9|CVE-2006-5432|http://www.securityfocus.com/bid/20620|Exploit|Currently we are not aware of any vendor-supplied patches for this issue. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.commailto:vuldb@securityfocus.com.
10|CVE-2006-5433|http://www.securityfocus.com/bid/20585||Currently we are not aware of any vendor-supplied patches for this issue. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.com.
