|cve-ids|ex_url|types|solution
0|CVE-2018-6376|http://www.securityfocus.com/bid/102916|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
1|CVE-2018-6377|http://www.securityfocus.com/bid/102917|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
2|CVE-2018-6379|http://www.securityfocus.com/bid/102918|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
3|CVE-2018-6380|http://www.securityfocus.com/bid/102921|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
4|CVE-2017-1731|http://www.securityfocus.com/bid/102911|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
5|CVE-2018-5441|http://www.securityfocus.com/bid/102907|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
6|CVE-2017-1000411|http://www.securityfocus.com/bid/102736|VDB Entry,Third Party Advisory|Currently, we are not aware of any vendor-supplied patches. If you feel we are in error or are aware of more recent information, please mail us at: vuldb@securityfocus.com.
7|CVE-2017-15706|http://www.securityfocus.com/bid/103069||Updates are available. Please see the references or vendor advisory for more information.
8|CVE-2018-1000001|http://www.securityfocus.com/bid/102525|VDB Entry,Third Party Advisory|Currently, we are not aware of any vendor-supplied patches. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.com.
9|CVE-2014-1631,CVE-2014-1632|http://www.securityfocus.com/archive/1/530891/100/0/threaded|VDB Entry,Exploit,Third Party Advisory|
10|CVE-2017-18043|http://www.securityfocus.com/bid/102759|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
11|CVE-2018-0136|http://www.securityfocus.com/bid/102905|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
12|CVE-2018-6374|http://www.securityfocus.com/bid/102908|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
13|CVE-2017-16911|http://www.securityfocus.com/bid/102156|VDB Entry,Third Party Advisory|Currently, we are not aware of any vendor-supplied patches. If you feel we are in error or are aware of more recent information, please mail us at: vuldb@securityfocus.com.
14|CVE-2017-16912,CVE-2017-16914,CVE-2017-16913|http://www.securityfocus.com/bid/102150|VDB Entry,Third Party Advisory|Currently, we are not aware of any vendor-supplied patches. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.com.
15|CVE-2017-16861|http://www.securityfocus.com/bid/102971|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
16|CVE-2018-6186|http://www.securityfocus.com/bid/102915|VDB Entry,Third Party Advisory|Currently, we are not aware of any vendor-supplied patches. If you feel we are in error or are aware of more recent information, please mail us at: vuldb@securityfocus.com.
17|CVE-2018-6485|http://www.securityfocus.com/bid/102912|VDB Entry,Third Party Advisory|The researcher has created a proof-of-concept to demonstrate the issue. Please see the references for more information.
18|CVE-2014-3005|http://www.securityfocus.com/bid/68075|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
19|CVE-2014-3244|http://www.securityfocus.com/bid/68102|VDB Entry,Third Party Advisory|Currently, we are not aware of any  vendor-supplied patches. If you feel we are in error or if you are aware  of more recent information, please mail us at: vuldb@securityfocus.com.
20|CVE-2014-3519|http://www.securityfocus.com/bid/68171|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
21|CVE-2014-3752|http://www.securityfocus.com/archive/1/532559/100/0/threaded||
22|CVE-2015-2203|http://www.securityfocus.com/bid/72885|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
23|CVE-2015-2204|http://www.securityfocus.com/bid/72889|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
24|CVE-2017-3160|http://www.securityfocus.com/bid/95838|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
25|CVE-2018-6526|http://www.securityfocus.com/bid/103065|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
26|CVE-2018-6543|http://www.securityfocus.com/bid/102985|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
27|CVE-2017-18036|http://www.securityfocus.com/bid/102932|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
28|CVE-2017-18039|http://www.securityfocus.com/bid/103086|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
29|CVE-2017-18040|http://www.securityfocus.com/bid/103070|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
30|CVE-2017-18041|http://www.securityfocus.com/bid/103071|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
31|CVE-2017-18042|http://www.securityfocus.com/bid/103110|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
32|CVE-2017-18081|http://www.securityfocus.com/bid/103087|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
33|CVE-2017-18084|http://www.securityfocus.com/bid/103064|VDB Entry,Third Party Advisory|Updates are available. Please see the references for more information.
34|CVE-2017-18085|http://www.securityfocus.com/bid/103062|VDB Entry,Third Party Advisory|Updates are available. Please see the references for more information.
35|CVE-2017-18086|http://www.securityfocus.com/bid/103061|VDB Entry,Third Party Advisory|Updates are available. Please see the references for more information.
36|CVE-2018-6486|http://www.securityfocus.com/bid/102902|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
37|CVE-2017-17108|http://www.securityfocus.com/archive/1/541742/100/0/threaded|VDB Entry,Third Party Advisory|
38|CVE-2018-6621|http://www.securityfocus.com/bid/102950|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
39|CVE-2015-1416|http://www.securityfocus.com/bid/76116|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
40|CVE-2015-1418|http://www.securityfocus.com/bid/76236|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
41|CVE-2015-4412,CVE-2015-4410,CVE-2015-4411|http://www.securityfocus.com/bid/75045|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
42|CVE-2015-5674|http://www.securityfocus.com/bid/76244|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
43|CVE-2018-5442|http://www.securityfocus.com/bid/102903|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
44|CVE-2018-6635|http://www.securityfocus.com/bid/102940|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
45|CVE-2016-6813|http://www.securityfocus.com/bid/93945|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
46|CVE-2017-15095|http://www.securityfocus.com/bid/103880|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
47|CVE-2017-7525|http://www.securityfocus.com/bid/99623|VDB Entry,Third Party Advisory|
48|CVE-2018-6389|http://www.securityfocus.com/bid/103060|VDB Entry,Third Party Advisory|Currently, we are not aware of any vendor-supplied patches. If you feel we are in error or are aware of more recent information, please mail us at: vuldb@securityfocus.com.
49|CVE-2018-4877|http://www.securityfocus.com/bid/102930|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
50|CVE-2018-4878|http://www.securityfocus.com/bid/102893|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
51|CVE-2018-5457|http://www.securityfocus.com/bid/102983|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
52|CVE-2018-6759|http://www.securityfocus.com/bid/103030|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
53|CVE-2018-6799|http://www.securityfocus.com/bid/102981|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
54|CVE-2018-1388|http://www.securityfocus.com/bid/103698||Updates are available. Please see the references or vendor advisory for more information.
55|CVE-2017-5126,CVE-2017-15394,CVE-2017-5132,CVE-2017-5129,CVE-2017-15389,CVE-2017-5133,CVE-2017-15387,CVE-2017-5125,CVE-2017-15393,CVE-2017-15395,CVE-2017-15392,CVE-2017-5130,CVE-2017-5131,CVE-2017-5124,CVE-2017-5127,CVE-2017-15388,CVE-2017-5128,CVE-2017-15386,CVE-2017-15390,CVE-2017-15391|http://www.securityfocus.com/bid/101482|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
56|CVE-2017-15397|http://www.securityfocus.com/bid/102435|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
57|CVE-2018-0113|http://www.securityfocus.com/bid/102966|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
58|CVE-2018-0116|http://www.securityfocus.com/bid/102968|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
59|CVE-2018-0117|http://www.securityfocus.com/bid/102970|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
60|CVE-2018-0119|http://www.securityfocus.com/bid/102961|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
61|CVE-2018-0120|http://www.securityfocus.com/bid/102958|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
62|CVE-2018-0122|http://www.securityfocus.com/bid/103028|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
63|CVE-2018-0123|http://www.securityfocus.com/bid/102967|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
64|CVE-2018-0125|http://www.securityfocus.com/bid/103140|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
65|CVE-2018-0127|http://www.securityfocus.com/bid/102969|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
66|CVE-2018-0128|http://www.securityfocus.com/bid/102960|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
67|CVE-2018-0129|http://www.securityfocus.com/bid/102959|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
68|CVE-2018-0132|http://www.securityfocus.com/bid/102975|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
69|CVE-2018-0134|http://www.securityfocus.com/bid/102954|VDB Entry,Third Party Advisory|Updates are available. Please see the references or vendor advisory for more information.
