|cve-ids|ex_url|types|solution
0|CVE-2006-3728|http://www.securityfocus.com/bid/19064||Sun has released patches to address this issue.
1|CVE-2006-3729|http://www.securityfocus.com/bid/19069|Exploit|Currently we are not aware of any vendor-supplied patches for this issue. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.commailto:vuldb@securityfocus.com.
2|CVE-2006-3730|http://www.securityfocus.com/archive/1/447174/100/0/threaded||
3|CVE-2006-3730|http://www.securityfocus.com/archive/1/447383/100/100/threaded||
4|CVE-2006-3730|http://www.securityfocus.com/archive/1/447426/100/0/threaded||
5|CVE-2006-3730|http://www.securityfocus.com/archive/1/447490/100/0/threaded||
6|CVE-2006-3730|http://www.securityfocus.com/bid/19030|Exploit|Microsoft has released security advisory MS06-057 to address this issue in supported versions of affected applications.<LINE BREAK><LINE BREAK>Unofficial fixes are available from Determina Security Research and from ZERT. Symantec has not confirmed the integrity of these fixes.<LINE BREAK><LINE BREAK>Please see the references for more information.<LINE BREAK><LINE BREAK>			Microsoft Windows Server 2003 Datacenter Edition  SP1<LINE BREAK> <LINE BREAK>					Microsoft  Security Update for Windows Server 2003 (KB923191)<LINE BREAK>http://www.microsoft.com/downloads/details.aspx?familyid=48f2314b-b268<LINE BREAK>-468c-919c-593e06af4453&displaylang=en<LINE BREAK><LINE BREAK><LINE BREAK>			Microsoft Windows XP Media Center Edition  SP2<LINE BREAK> <LINE BREAK>					Microsoft  Security Update for Windows XP (KB923191)<LINE BREAK>http://www.microsoft.com/downloads/details.aspx?FamilyId=235bca55-8d43<LINE BREAK>-4eaf-8970-a55bc3165e3d<LINE BREAK><LINE BREAK><LINE BREAK>			Microsoft Windows Server 2003 Enterprise Edition Itanium  SP1<LINE BREAK> <LINE BREAK>					Microsoft  Security Update for Windows Server 2003 for Itanium-based Systems (KB923191)<LINE BREAK>http://www.microsoft.com/downloads/details.aspx?familyid=6507e201-b84e<LINE BREAK>-432a-8797-23b586ad15ae&displaylang=en<LINE BREAK><LINE BREAK><LINE BREAK>			Microsoft Windows XP Media Center Edition  SP1<LINE BREAK> <LINE BREAK>					Microsoft  Security Update for Windows XP (KB923191)<LINE BREAK>http://www.microsoft.com/downloads/details.aspx?FamilyId=235bca55-8d43<LINE BREAK>-4eaf-8970-a55bc3165e3d<LINE BREAK><LINE BREAK><LINE BREAK>			Microsoft Windows Server 2003 Enterprise Edition Itanium  0<LINE BREAK> <LINE BREAK>					Microsoft  Security Update for Windows Server 2003 for Itanium-based Systems (KB923191)<LINE BREAK>http://www.microsoft.com/downloads/details.aspx?familyid=6507e201-b84e<LINE BREAK>-432a-8797-23b586ad15ae&displaylang=en<LINE BREAK><LINE BREAK><LINE BREAK>			Microsoft Windows Server 2003 Standard Edition  SP1<LINE BREAK> <LINE BREAK>					Microsoft  Security Update for Windows Server 2003 (KB923191)<LINE BREAK>http://www.microsoft.com/downloads/details.aspx?familyid=48f2314b-b268<LINE BREAK>-468c-919c-593e06af4453&displaylang=en<LINE BREAK><LINE BREAK><LINE BREAK>			Microsoft Windows Server 2003 Standard Edition  <LINE BREAK> <LINE BREAK>					Microsoft  Security Update for Windows Server 2003 (KB923191)<LINE BREAK>http://www.microsoft.com/downloads/details.aspx?familyid=48f2314b-b268<LINE BREAK>-468c-919c-593e06af4453&displaylang=en<LINE BREAK><LINE BREAK><LINE BREAK>			Microsoft Windows Server 2003 Enterprise x64 Edition  <LINE BREAK> <LINE BREAK>					Microsoft  Security Update for Windows Server 2003 x64 Edition (KB923191)<LINE BREAK>http://www.microsoft.com/downloads/details.aspx?familyid=2b39693f-aabc<LINE BREAK>-49c6-9d1a-6791f80f8f22&displaylang=en<LINE BREAK><LINE BREAK><LINE BREAK>			Microsoft Windows Server 2003 Datacenter Edition Itanium  0<LINE BREAK> <LINE BREAK>					Microsoft  Security Update for Windows Server 2003 for Itanium-based Systems (KB923191)<LINE BREAK>http://www.microsoft.com/downloads/details.aspx?familyid=6507e201-b84e<LINE BREAK>-432a-8797-23b586ad15ae&displaylang=en<LINE BREAK><LINE BREAK><LINE BREAK>			Microsoft Windows Server 2003 Datacenter x64 Edition  <LINE BREAK> <LINE BREAK>					Microsoft  Security Update for Windows Server 2003 x64 Edition (KB923191)<LINE BREAK>http://www.microsoft.com/downloads/details.aspx?familyid=2b39693f-aabc<LINE BREAK>-49c6-9d1a-6791f80f8f22&displaylang=en<LINE BREAK><LINE BREAK><LINE BREAK>			Microsoft Windows Server 2003 Enterprise Edition  SP1<LINE BREAK> <LINE BREAK>					Microsoft  Security Update for Windows Server 2003 (KB923191)<LINE BREAK>http://www.microsoft.com/downloads/details.aspx?familyid=48f2314b-b268<LINE BREAK>-468c-919c-593e06af4453&displaylang=en<LINE BREAK><LINE BREAK><LINE BREAK>			Microsoft Windows Server 2003 Datacenter Edition  <LINE BREAK> <LINE BREAK>					Microsoft  Security Update for Windows Server 2003 (KB923191)<LINE BREAK>http://www.microsoft.com/downloads/details.aspx?familyid=48f2314b-b268<LINE BREAK>-468c-919c-593e06af4453&displaylang=en<LINE BREAK><LINE BREAK><LINE BREAK>			Microsoft Windows 2000 Advanced Server  SP4<LINE BREAK> <LINE BREAK>					Microsoft  Security Update for Windows 2000 (KB923191)<LINE BREAK>http://www.microsoft.com/downloads/details.aspx?familyid=756f53a7-28dc<LINE BREAK>-422a-a691-c1bbfcbf3d0c&displaylang=en<LINE BREAK><LINE BREAK><LINE BREAK>			Microsoft Windows Server 2003 Enterprise Edition  <LINE BREAK> <LINE BREAK>					Microsoft  Security Update for Windows Server 2003 (KB923191)<LINE BREAK>http://www.microsoft.com/downloads/details.aspx?familyid=48f2314b-b268<LINE BREAK>-468c-919c-593e06af4453&displaylang=en<LINE BREAK><LINE BREAK><LINE BREAK>			Microsoft Windows XP Home  SP2<LINE BREAK> <LINE BREAK>					Microsoft  Security Update for Windows XP (KB923191)<LINE BREAK>http://www.microsoft.com/downloads/details.aspx?FamilyId=235bca55-8d43<LINE BREAK>-4eaf-8970-a55bc3165e3d<LINE BREAK><LINE BREAK><LINE BREAK>			Microsoft Windows 2000 Datacenter Server  SP4<LINE BREAK> <LINE BREAK>					Microsoft  Security Update for Windows 2000 (KB923191)<LINE BREAK>http://www.microsoft.com/downloads/details.aspx?familyid=756f53a7-28dc<LINE BREAK>-422a-a691-c1bbfcbf3d0c&displaylang=en<LINE BREAK><LINE BREAK><LINE BREAK>			Microsoft Windows Server 2003 Web Edition  <LINE BREAK> <LINE BREAK>					Microsoft  Security Update for Windows Server 2003 (KB923191)<LINE BREAK>http://www.microsoft.com/downloads/details.aspx?familyid=48f2314b-b268<LINE BREAK>-468c-919c-593e06af4453&displaylang=en<LINE BREAK><LINE BREAK><LINE BREAK>			Microsoft Windows XP Home  SP1<LINE BREAK> <LINE BREAK>					Microsoft  Security Update for Windows XP (KB923191)<LINE BREAK>http://www.microsoft.com/downloads/details.aspx?FamilyId=235bca55-8d43<LINE BREAK>-4eaf-8970-a55bc3165e3d<LINE BREAK><LINE BREAK><LINE BREAK>			Microsoft Windows XP Professional x64 Edition  <LINE BREAK> <LINE BREAK>					Microsoft  Security Update for Windows XP x64 Edition (KB923191)<LINE BREAK>http://www.microsoft.com/downloads/details.aspx?familyid=96271f96-0d8e<LINE BREAK>-4ab1-b131-2b37fca7e6e7&displaylang=en<LINE BREAK><LINE BREAK><LINE BREAK>			Microsoft Windows Server 2003 Web Edition  SP1<LINE BREAK> <LINE BREAK>					Microsoft  Security Update for Windows Server 2003 (KB923191)<LINE BREAK>http://www.microsoft.com/downloads/details.aspx?familyid=48f2314b-b268<LINE BREAK>-468c-919c-593e06af4453&displaylang=en<LINE BREAK><LINE BREAK><LINE BREAK>			Microsoft Windows XP Professional  SP2<LINE BREAK> <LINE BREAK>					Microsoft  Security Update for Windows XP (KB923191)<LINE BREAK>http://www.microsoft.com/downloads/details.aspx?FamilyId=235bca55-8d43<LINE BREAK>-4eaf-8970-a55bc3165e3d<LINE BREAK><LINE BREAK><LINE BREAK>			Microsoft Windows Server 2003 Datacenter Edition Itanium  SP1<LINE BREAK> <LINE BREAK>					Microsoft  Security Update for Windows Server 2003 for Itanium-based Systems (KB923191)<LINE BREAK>http://www.microsoft.com/downloads/details.aspx?familyid=6507e201-b84e<LINE BREAK>-432a-8797-23b586ad15ae&displaylang=en<LINE BREAK><LINE BREAK><LINE BREAK>			Microsoft Windows Server 2003 Standard x64 Edition  <LINE BREAK> <LINE BREAK>					Microsoft  Security Update for Windows Server 2003 x64 Edition (KB923191)<LINE BREAK>http://www.microsoft.com/downloads/details.aspx?familyid=2b39693f-aabc<LINE BREAK>-49c6-9d1a-6791f80f8f22&displaylang=en
7|CVE-2006-3731|http://www.securityfocus.com/archive/1/440119/100/100/threaded||
8|CVE-2006-3731|http://www.securityfocus.com/archive/1/440506/100/0/threaded||
9|CVE-2006-3734,CVE-2006-3733,CVE-2006-3732|http://www.securityfocus.com/bid/19071|Patch|Fixes are available. Please see the referenced Cisco advisory for details.
