|cve-ids|ex_url|types|solution
0|CVE-2006-3322,CVE-2006-3318,CVE-2006-3317|http://www.securityfocus.com/archive/1/438706/100/0/threaded||
1|CVE-2006-3319|http://www.securityfocus.com/archive/1/438621/100/0/threaded||
2|CVE-2006-3320|http://www.securityfocus.com/archive/1/438464/100/0/threaded||
3|CVE-2006-3320,CVE-2007-5492,CVE-2007-5693,CVE-2007-5695,CVE-2007-5692,CVE-2007-5694|http://www.securityfocus.com/archive/1/482499/100/0/threaded||
4|CVE-2006-3320|http://www.securityfocus.com/bid/18680|Exploit|The vendor released SiteBar 3.3.9 to address this issue. Please see the references for more information.<LINE BREAK><LINE BREAK>			SiteBar SiteBar 3.2.6 <LINE BREAK> <LINE BREAK>					Debian  sitebar_3.2.6-7.1_all.deb						Debian GNU/Linux 3.1 alias sarge<LINE BREAK>http://security.debian.org/pool/updates/main/s/sitebar/sitebar_3.2.6-7<LINE BREAK>.1_all.deb<LINE BREAK><LINE BREAK>					SiteBar  SiteBar-3.3.9.tar.bz2<LINE BREAK>http://downloads.sourceforge.net/sitebar/SiteBar-3.3.9.tar.bz2?modtime<LINE BREAK>=1192322139&big_mirror=0<LINE BREAK><LINE BREAK><LINE BREAK>			SiteBar SiteBar 3.3.2 <LINE BREAK> <LINE BREAK>					SiteBar  SiteBar-3.3.9.tar.bz2<LINE BREAK>http://downloads.sourceforge.net/sitebar/SiteBar-3.3.9.tar.bz2?modtime<LINE BREAK>=1192322139&big_mirror=0<LINE BREAK><LINE BREAK><LINE BREAK>			SiteBar SiteBar 3.3.3 <LINE BREAK> <LINE BREAK>					SiteBar  SiteBar-3.3.9.tar.bz2<LINE BREAK>http://downloads.sourceforge.net/sitebar/SiteBar-3.3.9.tar.bz2?modtime<LINE BREAK>=1192322139&big_mirror=0<LINE BREAK><LINE BREAK><LINE BREAK>			SiteBar SiteBar 3.3.4 <LINE BREAK> <LINE BREAK>					SiteBar  SiteBar-3.3.9.tar.bz2<LINE BREAK>http://downloads.sourceforge.net/sitebar/SiteBar-3.3.9.tar.bz2?modtime<LINE BREAK>=1192322139&big_mirror=0<LINE BREAK><LINE BREAK><LINE BREAK>			SiteBar SiteBar 3.3.5 <LINE BREAK> <LINE BREAK>					SiteBar  SiteBar-3.3.9.tar.bz2<LINE BREAK>http://downloads.sourceforge.net/sitebar/SiteBar-3.3.9.tar.bz2?modtime<LINE BREAK>=1192322139&big_mirror=0<LINE BREAK><LINE BREAK><LINE BREAK>			SiteBar SiteBar 3.3.6 <LINE BREAK> <LINE BREAK>					SiteBar  SiteBar-3.3.9.tar.bz2<LINE BREAK>http://downloads.sourceforge.net/sitebar/SiteBar-3.3.9.tar.bz2?modtime<LINE BREAK>=1192322139&big_mirror=0<LINE BREAK><LINE BREAK><LINE BREAK>			SiteBar SiteBar 3.3.7 <LINE BREAK> <LINE BREAK>					SiteBar  SiteBar-3.3.9.tar.bz2<LINE BREAK>http://downloads.sourceforge.net/sitebar/SiteBar-3.3.9.tar.bz2?modtime<LINE BREAK>=1192322139&big_mirror=0<LINE BREAK><LINE BREAK><LINE BREAK>			SiteBar SiteBar 3.3.8 <LINE BREAK> <LINE BREAK>					SiteBar  SiteBar-3.3.9.tar.bz2<LINE BREAK>http://downloads.sourceforge.net/sitebar/SiteBar-3.3.9.tar.bz2?modtime<LINE BREAK>=1192322139&big_mirror=0
5|CVE-2006-3320,CVE-2007-5491,CVE-2007-5492,CVE-2007-5693,CVE-2007-5695,CVE-2007-5692,CVE-2007-5694|http://www.securityfocus.com/bid/26126|Exploit,Patch|The vendor released SiteBar 3.3.9 to address these issues. Please see the references for more information.<LINE BREAK><LINE BREAK>			Debian Linux  4.0 amd64<LINE BREAK> <LINE BREAK>					Debian  sitebar_3.3.8-7etch1_all.deb <LINE BREAK>http://security.debian.org/pool/updates/main/s/sitebar/sitebar_3.3.8-7<LINE BREAK>etch1_all.deb <LINE BREAK><LINE BREAK><LINE BREAK>			Debian Linux  4.0 ia-32<LINE BREAK> <LINE BREAK>					Debian  sitebar_3.3.8-7etch1_all.deb <LINE BREAK>http://security.debian.org/pool/updates/main/s/sitebar/sitebar_3.3.8-7<LINE BREAK>etch1_all.deb <LINE BREAK><LINE BREAK><LINE BREAK>			Debian Linux  4.0 arm<LINE BREAK> <LINE BREAK>					Debian  sitebar_3.3.8-7etch1_all.deb <LINE BREAK>http://security.debian.org/pool/updates/main/s/sitebar/sitebar_3.3.8-7<LINE BREAK>etch1_all.deb <LINE BREAK><LINE BREAK><LINE BREAK>			Debian Linux  4.0 hppa<LINE BREAK> <LINE BREAK>					Debian  sitebar_3.3.8-7etch1_all.deb <LINE BREAK>http://security.debian.org/pool/updates/main/s/sitebar/sitebar_3.3.8-7<LINE BREAK>etch1_all.deb <LINE BREAK><LINE BREAK><LINE BREAK>			Debian Linux  4.0 sparc<LINE BREAK> <LINE BREAK>					Debian  sitebar_3.3.8-7etch1_all.deb <LINE BREAK>http://security.debian.org/pool/updates/main/s/sitebar/sitebar_3.3.8-7<LINE BREAK>etch1_all.deb <LINE BREAK><LINE BREAK><LINE BREAK>			Debian Linux  4.0 s/390<LINE BREAK> <LINE BREAK>					Debian  sitebar_3.3.8-7etch1_all.deb <LINE BREAK>http://security.debian.org/pool/updates/main/s/sitebar/sitebar_3.3.8-7<LINE BREAK>etch1_all.deb <LINE BREAK><LINE BREAK><LINE BREAK>			Debian Linux  4.0 powerpc<LINE BREAK> <LINE BREAK>					Debian  sitebar_3.3.8-7etch1_all.deb <LINE BREAK>http://security.debian.org/pool/updates/main/s/sitebar/sitebar_3.3.8-7<LINE BREAK>etch1_all.deb <LINE BREAK><LINE BREAK><LINE BREAK>			Debian Linux  4.0 alpha<LINE BREAK> <LINE BREAK>					Debian  sitebar_3.3.8-7etch1_all.deb <LINE BREAK>http://security.debian.org/pool/updates/main/s/sitebar/sitebar_3.3.8-7<LINE BREAK>etch1_all.deb <LINE BREAK><LINE BREAK><LINE BREAK>			Debian Linux  4.0 m68k<LINE BREAK> <LINE BREAK>					Debian  sitebar_3.3.8-7etch1_all.deb <LINE BREAK>http://security.debian.org/pool/updates/main/s/sitebar/sitebar_3.3.8-7<LINE BREAK>etch1_all.deb <LINE BREAK><LINE BREAK><LINE BREAK>			Debian Linux  4.0 mipsel<LINE BREAK> <LINE BREAK>					Debian  sitebar_3.3.8-7etch1_all.deb <LINE BREAK>http://security.debian.org/pool/updates/main/s/sitebar/sitebar_3.3.8-7<LINE BREAK>etch1_all.deb <LINE BREAK><LINE BREAK><LINE BREAK>			Debian Linux  4.0 ia-64<LINE BREAK> <LINE BREAK>					Debian  sitebar_3.3.8-7etch1_all.deb <LINE BREAK>http://security.debian.org/pool/updates/main/s/sitebar/sitebar_3.3.8-7<LINE BREAK>etch1_all.deb <LINE BREAK><LINE BREAK><LINE BREAK>			Debian Linux  4.0 mips<LINE BREAK> <LINE BREAK>					Debian  sitebar_3.3.8-7etch1_all.deb <LINE BREAK>http://security.debian.org/pool/updates/main/s/sitebar/sitebar_3.3.8-7<LINE BREAK>etch1_all.deb <LINE BREAK><LINE BREAK><LINE BREAK>			Debian Linux 3.1  ppc<LINE BREAK> <LINE BREAK>					Debian  sitebar_3.2.6-7.1sarge1_all.deb<LINE BREAK>http://security.debian.org/pool/updates/main/s/sitebar/sitebar_3.2.6-7<LINE BREAK>.1sarge1_all.deb<LINE BREAK><LINE BREAK><LINE BREAK>			Debian Linux 3.1  ia-64<LINE BREAK> <LINE BREAK>					Debian  sitebar_3.2.6-7.1sarge1_all.deb<LINE BREAK>http://security.debian.org/pool/updates/main/s/sitebar/sitebar_3.2.6-7<LINE BREAK>.1sarge1_all.deb<LINE BREAK><LINE BREAK><LINE BREAK>			Debian Linux 3.1  arm<LINE BREAK> <LINE BREAK>					Debian  sitebar_3.2.6-7.1sarge1_all.deb<LINE BREAK>http://security.debian.org/pool/updates/main/s/sitebar/sitebar_3.2.6-7<LINE BREAK>.1sarge1_all.deb<LINE BREAK><LINE BREAK><LINE BREAK>			Debian Linux 3.1  mips<LINE BREAK> <LINE BREAK>					Debian  sitebar_3.2.6-7.1sarge1_all.deb<LINE BREAK>http://security.debian.org/pool/updates/main/s/sitebar/sitebar_3.2.6-7<LINE BREAK>.1sarge1_all.deb<LINE BREAK><LINE BREAK><LINE BREAK>			Debian Linux 3.1  ia-32<LINE BREAK> <LINE BREAK>					Debian  sitebar_3.2.6-7.1sarge1_all.deb<LINE BREAK>http://security.debian.org/pool/updates/main/s/sitebar/sitebar_3.2.6-7<LINE BREAK>.1sarge1_all.deb<LINE BREAK><LINE BREAK><LINE BREAK>			Debian Linux 3.1  alpha<LINE BREAK> <LINE BREAK>					Debian  sitebar_3.2.6-7.1sarge1_all.deb<LINE BREAK>http://security.debian.org/pool/updates/main/s/sitebar/sitebar_3.2.6-7<LINE BREAK>.1sarge1_all.deb<LINE BREAK><LINE BREAK><LINE BREAK>			Debian Linux 3.1  m68k<LINE BREAK> <LINE BREAK>					Debian  sitebar_3.2.6-7.1sarge1_all.deb<LINE BREAK>http://security.debian.org/pool/updates/main/s/sitebar/sitebar_3.2.6-7<LINE BREAK>.1sarge1_all.deb<LINE BREAK><LINE BREAK><LINE BREAK>			Debian Linux 3.1  mipsel<LINE BREAK> <LINE BREAK>					Debian  sitebar_3.2.6-7.1sarge1_all.deb<LINE BREAK>http://security.debian.org/pool/updates/main/s/sitebar/sitebar_3.2.6-7<LINE BREAK>.1sarge1_all.deb<LINE BREAK><LINE BREAK><LINE BREAK>			Debian Linux 3.1  s/390<LINE BREAK> <LINE BREAK>					Debian  sitebar_3.2.6-7.1sarge1_all.deb<LINE BREAK>http://security.debian.org/pool/updates/main/s/sitebar/sitebar_3.2.6-7<LINE BREAK>.1sarge1_all.deb<LINE BREAK><LINE BREAK><LINE BREAK>			Debian Linux 3.1  amd64<LINE BREAK> <LINE BREAK>					Debian  sitebar_3.2.6-7.1sarge1_all.deb<LINE BREAK>http://security.debian.org/pool/updates/main/s/sitebar/sitebar_3.2.6-7<LINE BREAK>.1sarge1_all.deb<LINE BREAK><LINE BREAK><LINE BREAK>			Debian Linux 3.1  hppa<LINE BREAK> <LINE BREAK>					Debian  sitebar_3.2.6-7.1sarge1_all.deb<LINE BREAK>http://security.debian.org/pool/updates/main/s/sitebar/sitebar_3.2.6-7<LINE BREAK>.1sarge1_all.deb<LINE BREAK><LINE BREAK><LINE BREAK>			Debian Linux 3.1  sparc<LINE BREAK> <LINE BREAK>					Debian  sitebar_3.2.6-7.1sarge1_all.deb<LINE BREAK>http://security.debian.org/pool/updates/main/s/sitebar/sitebar_3.2.6-7<LINE BREAK>.1sarge1_all.deb<LINE BREAK><LINE BREAK><LINE BREAK>			SiteBar SiteBar 3.2.6 <LINE BREAK> <LINE BREAK>					SiteBar  SiteBar-3.3.9.tar.bz2<LINE BREAK>http://downloads.sourceforge.net/sitebar/SiteBar-3.3.9.tar.bz2?modtime<LINE BREAK>=1192322139&big_mirror=0<LINE BREAK><LINE BREAK><LINE BREAK>			SiteBar SiteBar 3.3.2 <LINE BREAK> <LINE BREAK>					SiteBar  SiteBar-3.3.9.tar.bz2<LINE BREAK>http://downloads.sourceforge.net/sitebar/SiteBar-3.3.9.tar.bz2?modtime<LINE BREAK>=1192322139&big_mirror=0<LINE BREAK><LINE BREAK><LINE BREAK>			SiteBar SiteBar 3.3.3 <LINE BREAK> <LINE BREAK>					SiteBar  SiteBar-3.3.9.tar.bz2<LINE BREAK>http://downloads.sourceforge.net/sitebar/SiteBar-3.3.9.tar.bz2?modtime<LINE BREAK>=1192322139&big_mirror=0<LINE BREAK><LINE BREAK><LINE BREAK>			SiteBar SiteBar 3.3.4 <LINE BREAK> <LINE BREAK>					SiteBar  SiteBar-3.3.9.tar.bz2<LINE BREAK>http://downloads.sourceforge.net/sitebar/SiteBar-3.3.9.tar.bz2?modtime<LINE BREAK>=1192322139&big_mirror=0<LINE BREAK><LINE BREAK><LINE BREAK>			SiteBar SiteBar 3.3.5 <LINE BREAK> <LINE BREAK>					SiteBar  SiteBar-3.3.9.tar.bz2<LINE BREAK>http://downloads.sourceforge.net/sitebar/SiteBar-3.3.9.tar.bz2?modtime<LINE BREAK>=1192322139&big_mirror=0<LINE BREAK><LINE BREAK><LINE BREAK>			SiteBar SiteBar 3.3.6 <LINE BREAK> <LINE BREAK>					SiteBar  SiteBar-3.3.9.tar.bz2<LINE BREAK>http://downloads.sourceforge.net/sitebar/SiteBar-3.3.9.tar.bz2?modtime<LINE BREAK>=1192322139&big_mirror=0<LINE BREAK><LINE BREAK><LINE BREAK>			SiteBar SiteBar 3.3.7 <LINE BREAK> <LINE BREAK>					SiteBar  SiteBar-3.3.9.tar.bz2<LINE BREAK>http://downloads.sourceforge.net/sitebar/SiteBar-3.3.9.tar.bz2?modtime<LINE BREAK>=1192322139&big_mirror=0<LINE BREAK><LINE BREAK><LINE BREAK>			SiteBar SiteBar 3.3.8 <LINE BREAK> <LINE BREAK>					SiteBar  SiteBar-3.3.9.tar.bz2<LINE BREAK>http://downloads.sourceforge.net/sitebar/SiteBar-3.3.9.tar.bz2?modtime<LINE BREAK>=1192322139&big_mirror=0
6|CVE-2006-3321|http://www.securityfocus.com/bid/19266||Currently we are not aware of any vendor-supplied patches for these issues. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.commailto:vuldb@securityfocus.com.
7|CVE-2006-3322|http://www.securityfocus.com/bid/18720|Patch|The vendor has released version 3.0.6 to address these issues.  Please contact the vendor to obtain fixes.
8|CVE-2006-3323|http://www.securityfocus.com/archive/1/438496/100/0/threaded||
9|CVE-2006-3323|http://www.securityfocus.com/bid/18676|Exploit|Currently we are not aware of any vendor-supplied patches for this issue. If you feel we are in error or are aware of more recent information, please mail us at: vuldb@securityfocus.commailto:vuldb@securityfocus.com.
