|cve-id|cve-url|cve-desc|pub-time|score|vulner-types|cwe-id|cwe-url|cwe-def|cwe-rel|pd-info
0|CVE-2019-19956|https://www.cvedetails.com/cve/CVE-2019-19956/|xmlParseBalancedChunkMemoryRecover in parser.c in libxml2 before 2.9.10 has a memory leak related to newDoc->oldNs.|2019-12-24|5.0|None|772|https://www.cvedetails.com/cwe-details/772/cwe.html|CWE - 772 : Missing Release of Resource after Effective Lifetime|ParentOf,1091,Use of Object without Invoking Destructor Method;MemberOf,399,Resource Management Errors;ChildOf,404,Improper Resource Shutdown or Release;ParentOf,775,Missing Release of File Descriptor or Handle after Effective Lifetime;ParentOf,401,Missing Release of Memory after Effective Lifetime;CanFollow,911,Improper Update of Reference Count|OS,Canonical,Ubuntu Linux,12.04;OS,Canonical,Ubuntu Linux,14.04;OS,Canonical,Ubuntu Linux,16.04;OS,Canonical,Ubuntu Linux,18.04;OS,Canonical,Ubuntu Linux,19.10;OS,Debian,Debian Linux,8.0;OS,Debian,Debian Linux,9.0;OS,Fedoraproject,Fedora,30;OS,Fedoraproject,Fedora,32;Application,Netapp,Active Iq Unified Manager,;Application,Netapp,Clustered Data Ontap,;Application,Netapp,Clustered Data Ontap Antivirus Connector,;Application,Netapp,Manageability Software Development Kit,;Application,Netapp,Ontap Select Deploy Administration Utility,;Application,Netapp,Steelstore Cloud Integrated Storage,;Application,Oracle,Real User Experience Insight,13.3.1.0;Application,Siemens,Sinema Remote Connect Server,*;Application,Xmlsoft,Libxml2,*
1|CVE-2019-19957|https://www.cvedetails.com/cve/CVE-2019-19957/|In libIEC61850 1.4.0, getNumberOfElements in mms/iso_mms/server/mms_access_result.c has an out-of-bounds read vulnerability, related to bufPos and elementLength.|2019-12-24|4.3|None|125|https://www.cvedetails.com/cwe-details/125/cwe.html|CWE - 125 : Out-of-bounds Read|MemberOf,1218,Memory Buffer Errors;CanFollow,823,Use of Out-of-range Pointer Offset;CanFollow,822,Untrusted Pointer Dereference;ParentOf,126,Buffer Over-read;CanFollow,825,Expired Pointer Dereference;ChildOf,119,Improper Restriction of Operations within the Bounds of a Memory Buffer;CanFollow,824,Access of Uninitialized Pointer;ParentOf,127,Buffer Under-read|Application,Mz-automation,Libiec61850,1.4.0
2|CVE-2019-19958|https://www.cvedetails.com/cve/CVE-2019-19958/|In libIEC61850 1.4.0, StringUtils_createStringFromBuffer in common/string_utilities.c has an integer signedness issue that could lead to an attempted excessive memory allocation and denial of service.|2019-12-24|4.3|Denial Of Service|681|https://www.cvedetails.com/cwe-details/681/cwe.html|CWE - 681 : Incorrect Conversion between Numeric Types|ParentOf,196,Unsigned to Signed Conversion Error;ParentOf,197,Numeric Truncation Error;MemberOf,136,Type Errors;ParentOf,192,Integer Coercion Error;CanPrecede,682,Incorrect Calculation;ChildOf,704,Incorrect Type Conversion or Cast;MemberOf,189,Numeric Errors;ParentOf,194,Unexpected Sign Extension;ParentOf,195,Signed to Unsigned Conversion Error|Application,Mz-automation,Libiec61850,1.4.0
3|CVE-2019-19960|https://www.cvedetails.com/cve/CVE-2019-19960/|In wolfSSL before 4.3.0, wc_ecc_mulmod_ex does not properly resist side-channel attacks.|2019-12-25|4.3|None|None|None|None|None|Application,Wolfssl,Wolfssl,*
4|CVE-2019-19962|https://www.cvedetails.com/cve/CVE-2019-19962/|wolfSSL before 4.3.0 mishandles calls to wc_SignatureGenerateHash, leading to fault injection in RSA cryptography.|2019-12-25|5.0|None|327|https://www.cvedetails.com/cwe-details/327/cwe.html|CWE - 327 : Use of a Broken or Risky Cryptographic Algorithm|ParentOf,780,Use of RSA Algorithm without OAEP;ChildOf,693,Protection Mechanism Failure;PeerOf,301,Reflection Attack in an Authentication Protocol;CanFollow,208,Observable Timing Discrepancy;ParentOf,328,Reversible One-Way Hash;ParentOf,916,Use of Password Hash With Insufficient Computational Effort;MemberOf,1013,Encrypt Data;PeerOf,311,Missing Encryption of Sensitive Data;ParentOf,1240,Use of a Risky Cryptographic Primitive|Application,Wolfssl,Wolfssl,*
5|CVE-2019-19963|https://www.cvedetails.com/cve/CVE-2019-19963/|An issue was discovered in wolfSSL before 4.3.0 in a non-default configuration where DSA is enabled. DSA signing uses the BEEA algorithm during modular inversion of the nonce, leading to a side-channel attack against the nonce.|2019-12-25|4.3|None|None|None|None|None|Application,Wolfssl,Wolfssl,*
6|CVE-2019-19965|https://www.cvedetails.com/cve/CVE-2019-19965/|In the Linux kernel through 5.4.6, there is a NULL pointer dereference in drivers/scsi/libsas/sas_discover.c because of mishandling of port disconnection during discovery, related to a PHY down race condition, aka CID-f70267f379b5.|2019-12-25|1.9|None|362|https://www.cvedetails.com/cwe-details/362/cwe.html|CWE - 362 : Race Condition|CanFollow,662,Improper Synchronization;ParentOf,368,Context Switching Race Condition;ParentOf,367,Time-of-check Time-of-use (TOCTOU) Race Condition;ParentOf,689,Permission Race Condition During Resource Copy;ParentOf,1223,Race Condition for Write-Once Attributes;ParentOf,1298,Hardware Logic Contains Race Conditions;ParentOf,364,Signal Handler Race Condition;ParentOf,366,Race Condition within a Thread;ParentOf,421,Race Condition During Access to Alternate Channel;ChildOf,691,Insufficient Control Flow Management|OS,Linux,Linux Kernel,*
7|CVE-2019-19966|https://www.cvedetails.com/cve/CVE-2019-19966/|In the Linux kernel before 5.1.6, there is a use-after-free in cpia2_exit() in drivers/media/usb/cpia2/cpia2_v4l.c that will cause denial of service, aka CID-dea37a972655.|2019-12-25|2.1|Denial Of Service|416|https://www.cvedetails.com/cwe-details/416/cwe.html|CWE - 416 : Use After Free|CanPrecede,123,Write-what-where Condition;ChildOf,672,Operation on a Resource after Expiration or Release;CanFollow,1265,Unintended Reentrant Invocation of Non-reentrant Code Via Nested Calls;CanFollow,364,Signal Handler Race Condition;ChildOf,825,Expired Pointer Dereference;PeerOf,415,Double Free;CanPrecede,120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')|OS,Debian,Debian Linux,8.0;OS,Linux,Linux Kernel,*
8|CVE-2019-19967|https://www.cvedetails.com/cve/CVE-2019-19967/|The Administration page on Connect Box EuroDOCSIS 3.0 Voice Gateway CH7465LG-NCIP-6.12.18.25-2p6-NOSH devices accepts a cleartext password in a POST request on port 80, as demonstrated by the Password field to the xml/setter.xml URI.|2019-12-25|5.0|None|319|https://www.cvedetails.com/cwe-details/319/cwe.html|CWE - 319 : Cleartext Transmission of Sensitive Information|ParentOf,5,J2EE Misconfiguration: Data Transmission Without Encryption;MemberOf,199,Information Management Errors;MemberOf,1013,Encrypt Data;ChildOf,311,Missing Encryption of Sensitive Data|None
9|CVE-2019-19977|https://www.cvedetails.com/cve/CVE-2019-19977/|libESMTP through 1.0.6 mishandles domain copying into a fixed-size buffer in ntlm_build_type_2 in ntlm/ntlmstruct.c, as demonstrated by a stack-based buffer over-read.|2019-12-26|7.5|None|125|https://www.cvedetails.com/cwe-details/125/cwe.html|CWE - 125 : Out-of-bounds Read|MemberOf,1218,Memory Buffer Errors;CanFollow,823,Use of Out-of-range Pointer Offset;CanFollow,822,Untrusted Pointer Dereference;ParentOf,126,Buffer Over-read;CanFollow,825,Expired Pointer Dereference;ChildOf,119,Improper Restriction of Operations within the Bounds of a Memory Buffer;CanFollow,824,Access of Uninitialized Pointer;ParentOf,127,Buffer Under-read|Application,Libesmtp Project,Libesmtp,*
